    µm         	µm
  39.941	  -0.030
  40.039	  -0.049
  40.137	  -0.067
  40.234	  -0.083
  40.332	  -0.106
  40.430	  -0.113
  40.527	  -0.112
  40.625	  -0.121
  40.723	  -0.126
  40.820	  -0.120
  40.918	  -0.115
  41.016	  -0.111
  41.113	  -0.092
  41.211	  -0.078
  41.309	  -0.062
  41.406	  -0.048
  41.504	  -0.035
  41.602	  -0.022
  41.699	  -0.011
  41.797	   0.007
  41.895	   0.033
  41.992	   0.045
  42.090	   0.048
  42.187	   0.062
  42.285	   0.076
  42.383	   0.087
  42.480	   0.090
  42.578	   0.096
  42.676	   0.105
  42.773	   0.108
  42.871	   0.110
  42.969	   0.118
  43.066	   0.124
  43.164	   0.127
  43.262	   0.137
  43.359	   0.152
  43.457	   0.155
  43.555	   0.167
  43.652	   0.183
  43.750	   0.206
  43.848	   0.226
  43.945	   0.245
  44.043	   0.269
  44.141	   0.293
  44.238	   0.308
  44.336	   0.325
  44.434	   0.347
  44.531	   0.366
  44.629	   0.381
  44.727	   0.396
  44.824	   0.405
  44.922	   0.422
  45.020	   0.431
  45.117	   0.442
  45.215	   0.443
  45.312	   0.442
  45.410	   0.440
  45.508	   0.432
  45.605	   0.411
  45.703	   0.391
  45.801	   0.366
  45.898	   0.318
  45.996	   0.257
  46.094	   0.180
  46.191	   0.095
  46.289	   0.008
  46.387	  -0.062
  46.484	  -0.138
  46.582	  -0.196
  46.680	  -0.246
  46.777	  -0.300
  46.875	  -0.342
  46.973	  -0.386
  47.070	  -0.419
  47.168	  -0.436
  47.266	  -0.463
  47.363	  -0.491
  47.461	  -0.518
  47.559	  -0.541
  47.656	  -0.554
  47.754	  -0.563
  47.852	  -0.581
  47.949	  -0.599
  48.047	  -0.612
  48.145	  -0.608
  48.242	  -0.609
  48.340	  -0.609
  48.437	  -0.605
  48.535	  -0.598
  48.633	  -0.583
  48.730	  -0.572
  48.828	  -0.564
  48.926	  -0.548
  49.023	  -0.543
  49.121	  -0.543
  49.219	  -0.527
  49.316	  -0.514
  49.414	  -0.495
